ClientID,Location,Grade,Variety,Intention Tonnage,Delivered,Balance,,Marketing Pool
426,Micheldever Store,GROUP 2 WINTER,Lili,400.00,329.74,70.26,,SS Long Pool
426,Micheldever Store,GROUP 1 WINTER,Crusoe,340.00,470.44,-130.44,,SS Long Pool
426,Micheldever Store,MALTING BARLEY SP,Propino,300.00,230.18,69.82,,SS Long Pool
426,Micheldever Store,OATS SPRING,Canyon,240.00,182.56,57.44,,SS Long Pool
415,Micheldever Store,GROUP 2 WINTER,Siskin,"1,400.00","1,721.52",-321.52,,SS Long Pool
415,Micheldever Store,MALTING BARLEY SP,Propino,850.00,862.68,-12.68,,SS Long Pool
415,Micheldever Store,FEED BARLEY,Bazooka,250.00,345.42,-95.42,,SS Long Pool
415,Micheldever Store,FEED BARLEY,Bazooka,100.00,0.00,100.00,,Members Choice
415,Micheldever Store,OILSEED RAPE,Mxd OSR,400.00,405.56,-5.56,,SS Long Pool
407,Micheldever Store,GROUP 1 WINTER,Crusoe,524.00,480.92,43.08,,SS Long Pool
407,Micheldever Store,FEED BARLEY,Belfry,426.00,330.52,95.48,,SS Long Pool
407,Micheldever Store,OILSEED RAPE,Mxd OSR,55.00,49.02,5.98,,SS Long Pool
424,Micheldever Store,GROUP 1 WINTER,Skyfall,85.00,88.12,-3.12,,SS Long Pool
424,Micheldever Store,MALTING BARLEY SP,Planet,50.00,57.74,-7.74,,SS Long Pool
406,Micheldever Store,GROUP 1 WINTER,Skyfall,160.00,141.50,18.50,,SS Long Pool
406,Micheldever Store,GROUP 2 WINTER,Cordialle,50.00,29.74,20.26,,SS Long Pool
406,Micheldever Store,GROUP 2 WINTER,Lili,800.00,938.94,-138.94,,SS Long Pool
406,Micheldever Store,MALTING BARLEY SP,Planet,960.00,852.72,107.28,,SS Long Pool
406,Micheldever Store,FEED BARLEY,Glacier,100.00,185.46,-85.46,,Members Choice
406,Micheldever Store,FEED BARLEY,Glacier,320.00,29.16,290.84,,SS Long Pool
406,Micheldever Store,OILSEED RAPE,Mxd OSR,110.00,106.76,3.24,,SS Long Pool
409,Micheldever Store,GROUP 4 HARD,Santiago,120.00,116.08,3.92,,SS Long Pool
409,Micheldever Store,MALTING BARLEY SP,Planet,30.00,0.00,30.00,,SS Long Pool
409,Shrewton Store,GROUP 4 HARD,Santiago,180.00,203.08,-23.08,,SS Long Pool
476,Micheldever Store,GROUP 1 WINTER,Skyfall,900.00,718.00,182.00,,SS Long Pool
476,Micheldever Store,MALTING BARLEY SP,Propino,280.00,0.00,280.00,,SS Long Pool
476,Micheldever Store,OILSEED RAPE,Mxd OSR,300.00,294.24,5.76,,SS Long Pool
476,Membury Store,FEED BARLEY,Bazooka,300.00,607.42,-307.42,,Members Choice
476,,FEED BARLEY,,0.00,29.56,-29.56,,
220,,OATS SPRING,,0.00,42.92,-42.92,,
402,Micheldever Store,OILSEED RAPE,Mxd OSR,174.00,161.26,12.74,,SS Long Pool
402,Micheldever Store,MALTING BARLEY SP,Planet,322.00,525.40,-203.40,,Members Choice
402,Micheldever Store,FEED BARLEY,Bazooka,60.00,473.66,-413.66,,SS Long Pool
405,Micheldever Store,GROUP 2 WINTER,Siskin,330.00,291.32,38.68,,SS Long Pool
405,Micheldever Store,OILSEED RAPE,Mxd OSR,150.00,128.36,21.64,,SS Long Pool
432,Micheldever Store,MALTING BARLEY SP,Planet,120.00,692.24,-572.24,,SS Long Pool
447,Micheldever Store,GROUP 1 WINTER,Zyatt,400.00,58.36,341.64,,SS Long Pool
447,Micheldever Store,GROUP 2 WINTER,Cordialle,200.00,521.74,-321.74,,SS Long Pool
447,Micheldever Store,OILSEED RAPE,Mxd OSR,100.00,103.98,-3.98,,SS Long Pool
457,Micheldever Store,GROUP 1 WINTER,Crusoe,360.00,313.70,46.30,,SS Long Pool
457,Micheldever Store,MALTING BARLEY SP,Propino,50.00,29.38,20.62,,SS Long Pool
500,Micheldever Store,GROUP 1 SPRING,Mulika,200.00,110.36,89.64,,SS Long Pool
500,Micheldever Store,MALTING BARLEY SP,Propino,250.00,246.10,3.90,,SS Long Pool
500,Micheldever Store,BEANS WINTER,Tundra,100.00,74.66,25.34,,SS Long Pool
410,Micheldever Store,GROUP 3 SOFT,Basset,432.00,168.02,263.98,,SS Long Pool
410,Micheldever Store,GROUP 4 HARD,Costello,443.00,960.68,-517.68,,SS Long Pool
410,Shrewton Store,MALTING BARLEY SP,Planet,287.00,117.70,169.30,,SS Long Pool
410,Shrewton Store,MALTING BARLEY SP,Propino,504.00,344.60,159.40,,SS Long Pool
410,Micheldever Store,FEED BARLEY,Orwell,353.00,392.12,-39.12,,SS Long Pool
410,Micheldever Store,OILSEED RAPE,Mxd OSR,431.00,434.64,-3.64,,SS Long Pool
410,Micheldever Store,MALTING BARLEY SP,Propino,120.00,268.14,-148.14,,SS Long Pool
439,Micheldever Store,GROUP 4 SOFT,Revelation,230.00,441.52,-211.52,,SS Long Pool
439,Micheldever Store,FEED BARLEY,Bazooka,280.00,245.24,34.76,,SS Long Pool
439,Micheldever Store,BEANS WINTER,Tundra,230.00,190.56,39.44,,SS Long Pool
488,Micheldever Store,GROUP 2 WINTER,Panorama,245.00,209.18,35.82,,SS Long Pool
488,Micheldever Store,BEANS SPRING,Fuego,40.00,18.80,21.20,,SS Long Pool
488,Micheldever Store,OATS SPRING,Canyon,110.00,84.20,25.80,,SS Long Pool
499,Micheldever Store,MALTING BARLEY SP,Planet,60.00,58.12,1.88,,SS Long Pool
499,Micheldever Store,OILSEED RAPE,Mxd OSR,40.00,52.54,-12.54,,SS Long Pool
